hole_center_x (mm),hole_center_y (mm),hole_center_z (mm),wall_thickness (mm),hole_r (mm),body_l (mm),body_l_corrected (mm),body_inner_top (mm),body_inner_top_corrected (mm),body_outer_top (mm),body_inner_bottom (mm),body_outer_bottom (mm),guide_l (mm),guide_inner_top (mm),guide_outer_top (mm),guide_inner_bottom (mm),guide_outer_bottom (mm),box_inner_size_x (mm),box_inner_size_y (mm),box_inner_size_z (mm),box_outer_size_x (mm),box_outer_size_y (mm),box_outer_size_z (mm),z_axis_angle (deg),x_axis_angle (deg)
-170.499,95.57272,-71.5318,2.0,208.1366191241666,60.741524539105065,58.741524539105065,50.0,48.42941051078522,52.42941051078522,2.3,6.3,3.0,2.3,6.3,4.8830764240859414,8.883076424085942,51.2,51.2,10.0,55.2,55.2,16.0,150.7273161658731,-18.96667480475074
-201.258,56.97774,-71.1818,2.0,220.94817055306794,65.0287331143324,63.0287331143324,50.0,48.532956195959265,52.532956195959265,2.3,6.3,3.0,2.3,6.3,4.712779589664482,8.712779589664482,51.2,51.2,10.0,55.2,55.2,16.0,164.19276058921545,-17.857131483862748
-221.948,12.56229,-70.8925,2.0,233.3333932172892,69.14198421177758,67.14198421177758,50.0,48.62023051424449,52.62023051424449,2.3,6.3,3.0,2.3,6.3,4.569243525314881,8.569243525314882,51.2,51.2,10.0,55.2,55.2,16.0,176.76050668071247,-16.90008875413997
-230.423,-35.1111,-70.7108,2.0,243.57250565047363,72.52302732414834,70.52302732414834,50.0,48.68455574015684,52.68455574015684,2.3,6.3,3.0,2.3,6.3,4.463450779553383,8.463450779553384,51.2,51.2,10.0,55.2,55.2,16.0,-171.33610179308803,-16.188382205775167
-225.927,-82.9365,-70.5931,2.0,250.80840920682863,74.90315784053459,72.90315784053459,50.0,48.7263554334638,52.7263554334638,2.3,6.3,3.0,2.3,6.3,4.394704743076827,8.394704743076826,51.2,51.2,10.0,55.2,55.2,16.0,-159.84210479624005,-15.719906967505192
-209.229,-127.899,-70.5263,2.0,255.1644325404503,76.33266114686683,74.33266114686683,50.0,48.750207335016825,52.750207335016825,2.3,6.3,3.0,2.3,6.3,4.355476615679867,8.355476615679867,51.2,51.2,10.0,55.2,55.2,16.0,-148.56309106004403,-15.450559203422266
-182.273,-167.656,-70.4918,2.0,257.48995074029585,77.094853118343,75.094853118343,50.0,48.76256330816847,52.76256330816847,2.3,6.3,3.0,2.3,6.3,4.335155313924181,8.335155313924181,51.2,51.2,10.0,55.2,55.2,16.0,-137.39193042178604,-15.310458396244517
-147.473,-200.839,-70.4707,2.0,258.94151696568474,77.57027674278719,75.57027674278719,50.0,48.77014748424408,52.77014748424408,2.3,6.3,3.0,2.3,6.3,4.322681967736942,8.322681967736942,51.2,51.2,10.0,55.2,55.2,16.0,-126.28926755282242,-15.22428055698947
-107.125,-226.898,-70.4467,2.0,260.6169709936212,78.11872162107223,76.11872162107223,50.0,48.77878185894089,52.77878185894089,2.3,6.3,3.0,2.3,6.3,4.308481408094073,8.308481408094073,51.2,51.2,10.0,55.2,55.2,16.0,-115.27332874503642,-15.125990703879715
-63.1068,-245.785,-70.4085,2.0,263.3440549993297,79.0107205459795,77.0107205459795,50.0,48.79256891544885,52.79256891544885,2.3,6.3,3.0,2.3,6.3,4.285806469246077,8.285806469246076,51.2,51.2,10.0,55.2,55.2,16.0,-104.3999864336265,-14.968667734159569
