Descriptions,Total length,First rotation,Second rotation,Translation x,Translation y,Translation z,Pixel translation,Collimator translation,Collimator length,Collimator plus guide length,Guide exit edge length (air),Guide exit edge length (lead),Guide translation,d,d + 2t,Ld,Ld + 2t,Repeat vector,Pixel size,Crystal thickness,Crystal back face x,Crystal back face y,Crystal back face z,Crystal centroid x,Crystal centroid y,Crystal centroid z
26,252.11938324520997,252.29800500153047,-7.345830502233639,119.10523055761718,-38.015897373005004,-16.117737208686254,121.05969162260499,87.57508424584799,53.96921475351401,56.96921475351401,5.207212949393228,11.207212949393227,-26.984607376757005,2.3,6.3,50,54,25,2,10,76.03179474601001,238.21046111523435,-32.23547441737251,74.52394172480732,233.48630111513728,-31.596184530128486
27,238.54381560571485,267.61151444724294,-7.802899565609323,118.06490478345086,-4.924617249733478,-16.193035365601855,114.27190780285743,82.52395097158343,50.49591366254799,53.49591366254799,5.407182118706176,11.407182118706176,-25.247956831273996,2.3,6.3,50,54,25,2,10,9.849234499466956,236.1298095669017,-32.38607073120371,9.64278952258802,231.18040836429,-31.707242176186075
28,233.2980396820767,-75.98750253124429,-7.995033604414957,112.07781282472351,27.970104993122195,-16.224393023312807,111.64901984103835,80.57626886681008,49.145501948456534,52.145501948456534,5.492560738611555,11.492560738611555,-24.572750974228267,2.3,6.3,50,54,25,2,10,-55.94020998624439,224.15562564944702,-32.448786046625614,-54.74130985698321,219.35156415894087,-31.753349726396667
29,236.87685018812192,-59.43604794922392,-7.862965786946987,101.02400886395512,59.65967422247365,-16.202883801512645,113.43842509406096,81.90476154730015,50.06732709352162,53.06732709352162,5.433780233702586,11.433780233702585,-25.03366354676081,2.3,6.3,50,54,25,2,10,-119.3193484449473,202.04801772791023,-32.40576760302529,-116.80075390204058,197.78318523019152,-31.721746189001728
30,247.8626812783462,-43.80571918348534,-7.483298161980187,85.0564990973639,88.67837640917004,-16.14046812693012,118.9313406391731,85.98971870354023,52.88324387126575,55.88324387126575,5.266913307775585,11.266913307775585,-26.441621935632874,2.3,6.3,50,54,25,2,10,-177.35675281834008,170.1129981947278,-32.28093625386024,-173.7790308332549,166.68140055934813,-31.629750361587707
31,263.87872268955954,-29.27268383412689,-6.990904628280816,64.0343151314319,114.23538741592795,-16.058574645642956,126.93936134477977,91.96129854673663,56.95612559608627,59.95612559608627,5.054751984232252,11.05475198423225,-28.478062798043133,2.3,6.3,50,54,25,2,10,-228.4707748318559,128.0686302628638,-32.11714929128591,-224.14168811157793,125.6419732562371,-31.508590386575158
32,282.0660960157572,-15.80723941078455,-6.504547893067723,38.170359740871,134.82616651218908,-15.9765168692223,136.0330480078786,98.76157462692356,61.542946761910066,64.54294676191006,4.849439184428327,10.849439184428327,-30.771473380955033,2.3,6.3,50,54,25,2,10,-269.65233302437815,76.340719481742,-31.9530337384446,-264.8723836289479,74.98747780257405,-31.3866233440408
33,299.46970704855914,-3.239493319287543,-6.098353370105855,8.413588963621638,148.64958883276023,-15.907156268170946,144.73485352427957,105.28420179619982,65.90130345615948,68.90130345615948,4.680833030174842,10.680833030174842,-32.95065172807974,2.3,6.3,50,54,25,2,10,-297.29917766552046,16.827177927243277,-31.81431253634189,-292.33541721382784,16.546228343175418,-31.28313506183387
34,313.738664450237,8.663898206911982,-5.801197557040666,-23.50945265437627,154.28507249785233,-15.855895842830973,151.8693322251185,110.64128124680258,69.45610195663185,72.45610195663185,4.558980789016461,10.558980789016461,-34.72805097831593,2.3,6.3,50,54,25,2,10,-308.57014499570465,-47.01890530875254,-31.711791685661947,-303.6525148155608,-46.269572972058505,-31.20640622829044
35,323.7742798180609,20.157895203759942,-5.608940914074665,-55.52057196375024,151.24337610164648,-15.822558014428047,156.88713990903045,114.41331468839564,71.9476504412696,74.9476504412696,4.480752241910616,10.480752241910615,-35.9738252206348,2.3,6.3,50,54,25,2,10,-302.48675220329295,-111.04114392750049,-31.645116028856094,-297.8154924544755,-109.32635138761903,-31.156425017843137
36,329.7984200614393,31.43690893995597,-5.499511809065922,-85.60884900050786,140.04686406873597,-15.803490313111837,159.89921003071964,116.67911238120895,73.44019529902138,76.44019529902138,4.436432227081656,10.436432227081657,-36.72009764951069,2.3,6.3,50,54,25,2,10,-280.09372813747194,-171.21769800101572,-31.606980626223674,-275.84728984214456,-168.6219048196973,-31.127794270201477
